H,X,Y,Z,date
NA,NA,NA,NA,1957-01-01
NA,NA,NA,NA,1957-01-02
NA,NA,NA,NA,1957-01-03
NA,NA,NA,NA,1957-01-04
NA,NA,NA,NA,1957-01-05
NA,NA,NA,NA,1957-01-06
NA,NA,NA,NA,1957-01-07
NA,NA,NA,NA,1957-01-08
NA,NA,NA,NA,1957-01-09
NA,NA,NA,NA,1957-01-10
NA,NA,NA,NA,1957-01-11
NA,NA,NA,NA,1957-01-12
NA,NA,NA,NA,1957-01-13
NA,NA,NA,NA,1957-01-14
NA,NA,NA,NA,1957-01-15
NA,NA,NA,NA,1957-01-16
NA,NA,NA,NA,1957-01-17
NA,NA,NA,NA,1957-01-18
NA,NA,NA,NA,1957-01-19
NA,NA,NA,NA,1957-01-20
NA,NA,NA,NA,1957-01-21
NA,NA,NA,NA,1957-01-22
NA,NA,NA,NA,1957-01-23
NA,NA,NA,NA,1957-01-24
NA,NA,NA,NA,1957-01-25
NA,NA,NA,NA,1957-01-26
NA,NA,NA,NA,1957-01-27
NA,NA,NA,NA,1957-01-28
NA,NA,NA,NA,1957-01-29
NA,NA,NA,NA,1957-01-30
NA,NA,NA,NA,1957-01-31
NA,NA,NA,NA,1957-02-01
NA,NA,NA,NA,1957-02-02
NA,NA,NA,NA,1957-02-03
NA,NA,NA,NA,1957-02-04
NA,NA,NA,NA,1957-02-05
NA,NA,NA,NA,1957-02-06
NA,NA,NA,NA,1957-02-07
NA,NA,NA,NA,1957-02-08
NA,NA,NA,NA,1957-02-09
NA,NA,NA,NA,1957-02-10
NA,NA,NA,NA,1957-02-11
NA,NA,NA,NA,1957-02-12
NA,NA,NA,NA,1957-02-13
NA,NA,NA,NA,1957-02-14
NA,NA,NA,NA,1957-02-15
NA,NA,NA,NA,1957-02-16
NA,NA,NA,NA,1957-02-17
NA,NA,NA,NA,1957-02-18
NA,NA,NA,NA,1957-02-19
NA,NA,NA,NA,1957-02-20
NA,NA,NA,NA,1957-02-21
NA,NA,NA,NA,1957-02-22
NA,NA,NA,NA,1957-02-23
NA,NA,NA,NA,1957-02-24
NA,NA,NA,NA,1957-02-25
NA,NA,NA,NA,1957-02-26
NA,NA,NA,NA,1957-02-27
NA,NA,NA,NA,1957-02-28
NA,NA,NA,NA,1957-03-01
NA,NA,NA,NA,1957-03-02
NA,NA,NA,NA,1957-03-03
NA,NA,NA,NA,1957-03-04
NA,NA,NA,NA,1957-03-05
NA,NA,NA,NA,1957-03-06
NA,NA,NA,NA,1957-03-07
NA,NA,NA,NA,1957-03-08
NA,NA,NA,NA,1957-03-09
NA,NA,NA,NA,1957-03-10
NA,NA,NA,NA,1957-03-11
NA,NA,NA,NA,1957-03-12
NA,NA,NA,NA,1957-03-13
NA,NA,NA,NA,1957-03-14
NA,NA,NA,NA,1957-03-15
NA,NA,NA,NA,1957-03-16
NA,NA,NA,NA,1957-03-17
NA,NA,NA,NA,1957-03-18
NA,NA,NA,NA,1957-03-19
NA,NA,NA,NA,1957-03-20
NA,NA,NA,NA,1957-03-21
NA,NA,NA,NA,1957-03-22
NA,NA,NA,NA,1957-03-23
NA,NA,NA,NA,1957-03-24
NA,NA,NA,NA,1957-03-25
NA,NA,NA,NA,1957-03-26
NA,NA,NA,NA,1957-03-27
NA,NA,NA,NA,1957-03-28
NA,NA,NA,NA,1957-03-29
NA,NA,NA,NA,1957-03-30
NA,NA,NA,NA,1957-03-31
NA,NA,NA,NA,1957-04-01
NA,NA,NA,NA,1957-04-02
NA,NA,NA,NA,1957-04-03
NA,NA,NA,NA,1957-04-04
NA,NA,NA,NA,1957-04-05
NA,NA,NA,NA,1957-04-06
NA,NA,NA,NA,1957-04-07
NA,NA,NA,NA,1957-04-08
NA,NA,NA,NA,1957-04-09
NA,NA,NA,NA,1957-04-10
NA,NA,NA,NA,1957-04-11
NA,NA,NA,NA,1957-04-12
NA,NA,NA,NA,1957-04-13
NA,NA,NA,NA,1957-04-14
NA,NA,NA,NA,1957-04-15
